DeviceName:,Sonarworks;Systemwide,BitDepth:,32,Samplerate:,48000,SampleLayout:,1,IsFloat:,1,ChannelLayout:,2,PreBufferedBufferCount:,0
m_nHostTimestamp:,501380654657,m_nStreamPosition:,30720,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
m_nHostTimestamp:,501391327051,m_nStreamPosition:,31232,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
m_nHostTimestamp:,501401999444,m_nStreamPosition:,31744,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
m_nHostTimestamp:,501412671837,m_nStreamPosition:,32256,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
m_nHostTimestamp:,501423344230,m_nStreamPosition:,32768,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
m_nHostTimestamp:,501434016623,m_nStreamPosition:,33280,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
m_nHostTimestamp:,501444689016,m_nStreamPosition:,33792,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
m_nHostTimestamp:,501455361410,m_nStreamPosition:,34304,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
m_nHostTimestamp:,501466033803,m_nStreamPosition:,34816,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
m_nHostTimestamp:,501476706196,m_nStreamPosition:,35328,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
m_nHostTimestamp:,501487378589,m_nStreamPosition:,35840,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
m_nHostTimestamp:,501498050982,m_nStreamPosition:,36352,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
m_nHostTimestamp:,501508723376,m_nStreamPosition:,36864,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
m_nHostTimestamp:,501519395769,m_nStreamPosition:,37376,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
m_nHostTimestamp:,501530068162,m_nStreamPosition:,37888,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
m_nHostTimestamp:,501540740555,m_nStreamPosition:,38400,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
m_nHostTimestamp:,501551412948,m_nStreamPosition:,38912,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
m_nHostTimestamp:,501562085341,m_nStreamPosition:,39424,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
m_nHostTimestamp:,501572757735,m_nStreamPosition:,39936,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;
