DeviceName:,Universal;Audio;Thunderbolt,BitDepth:,32,Samplerate:,48000,SampleLayout:,1,IsFloat:,1,ChannelLayout:,2,PreBufferedBufferCount:,0
m_nHostTimestamp:,501380180457,m_nStreamPosition:,34304,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;;
m_nHostTimestamp:,501390846640,m_nStreamPosition:,34816,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;;
m_nHostTimestamp:,501401512822,m_nStreamPosition:,35328,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;;
m_nHostTimestamp:,501412179005,m_nStreamPosition:,35840,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;;
m_nHostTimestamp:,501422845188,m_nStreamPosition:,36352,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;;
m_nHostTimestamp:,501433511371,m_nStreamPosition:,36864,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;;
m_nHostTimestamp:,501444177554,m_nStreamPosition:,37376,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;;
m_nHostTimestamp:,501454843736,m_nStreamPosition:,37888,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;;
m_nHostTimestamp:,501465509919,m_nStreamPosition:,38400,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;;
m_nHostTimestamp:,501476176102,m_nStreamPosition:,38912,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;;
m_nHostTimestamp:,501486842285,m_nStreamPosition:,39424,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;;
m_nHostTimestamp:,501497508467,m_nStreamPosition:,39936,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;;
m_nHostTimestamp:,501508191877,m_nStreamPosition:,40448,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;;
m_nHostTimestamp:,501518858411,m_nStreamPosition:,40960,m_nNumberOfSamples:,512,m_nSampleRate:,48000,m_bIsForcedSilence:,0;;
